"Title","Artist","Style","Genre","Media","Link to Picture","link to image","Artwork_ID","...9","...10","...11","...12","participant_1","participant_83","participant_94","participant_95","participant_66","participant_49","participant_32","participant_98","participant_15","participant_80","participant_63","participant_96","participant_46","participant_29","participant_12","participant_89","participant_84","participant_77","participant_60","participant_43","participant_93","participant_26","participant_9","participant_74","participant_91","participant_57","participant_40","participant_23","participant_100","participant_78","participant_6","participant_71","participant_54","participant_87","participant_37","participant_20","participant_3","participant_85","participant_68","participant_51","participant_34","participant_45","participant_7","participant_90","participant_17","participant_82","participant_65","participant_16","participant_48","participant_31","participant_14","participant_86","participant_79","participant_62","participant_56","participant_18","participant_27","participant_28","participant_11","participant_76","participant_47","participant_59","participant_42","participant_25","participant_5","participant_8","participant_73","participant_67","participant_36","participant_38","participant_39","participant_22","participant_13","participant_58","participant_70","participant_53","participant_50","participant_33","participant_19","participant_2","participant_81","participant_64","participant_69","participant_99","participant_30","participant_24","participant_44","participant_97","participant_88","participant_61","participant_75","participant_55","participant_92","participant_10","participant_35","participant_4","participant_41","participant_72","participant_21","participant_52"
"Untitled Mathias Goeritz","Mathias Goeritz","Minimalism","sculpture","sculpture","https://www.wikiart.org/en/mathias-goeritz/untitled-1983","https://uploads8.wikiart.org/images/mathias-goeritz/untitled-1983.jpg",98,NA,NA,NA,"https://uploads8.wikiart.org/images/erich-buchholz/composition-1920-1.jpg",NA,NA,NA,NA,59,15,NA,NA,NA,NA,NA,NA,0,NA,NA,37,NA,NA,NA,NA,NA,8,16,16,73,NA,NA,NA,63,23,NA,NA,NA,87,77,NA,NA,NA,NA,NA,52,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,12,NA,NA,NA,NA,NA,66,NA,3,NA,61,NA,NA,75,NA,NA,NA,NA,NA,34,NA,NA,NA,0,NA
"Untitled (from Splints)","Mira Schendel","Minimalism","abstract","wood","https://www.wikiart.org/en/mira-schendel/untitled-from-splints-1987","https://uploads4.wikiart.org/images/mira-schendel/untitled-from-splints-1987(1).jpg!PinterestSmall.jpg",99,NA,NA,NA,"https://uploads8.wikiart.org/images/john-mclaughlin/number-6-1963.jpg",NA,0,69,NA,NA,7,12,NA,NA,0,22,NA,NA,NA,0,NA,NA,76,17,47,NA,3,63,NA,62,NA,NA,NA,NA,NA,16,NA,18,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,78,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,55,NA,51,NA,41,NA,7,0,NA,4,NA,NA,NA,NA,7,NA,NA,NA,0,NA,6,NA,NA,60,NA,NA,NA,NA,NA,29,NA,NA,16,NA,0,87,50,NA,NA,NA,NA,NA,4
"Primrose","Anne Truitt","Minimalism","sculpture","sculpture","https://www.wikiart.org/en/anne-truitt/primrose-1962","https://uploads8.wikiart.org/images/anne-truitt/primrose-1962.jpg",100,NA,NA,NA,"https://uploads8.wikiart.org/images/antonio-calderara/spazio-luce-1961.jpg",NA,NA,49,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,73,NA,NA,NA,NA,36,11,NA,96,NA,15,NA,NA,NA,NA,56,NA,NA,NA,60,NA,NA,50,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,51,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,71,NA,70,NA,NA,NA,NA,NA,NA,45
"Ridiculous Portrait (Statue of Liberty)","May Wilson","Pop Art","cityscape","collage","https://www.wikiart.org/en/may-wilson/ridiculous-portrait-statue-of-liberty-1972","https://uploads8.wikiart.org/images/may-wilson/ridiculous-portrait-statue-of-liberty-1972.jpg",101,NA,NA,NA,"https://uploads8.wikiart.org/images/myron-stout/untitled-1979.jpg",0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,100,NA,NA,9,NA,NA,78,NA,NA,NA,62,NA,66,NA,NA,NA,NA,NA,NA,NA,0,30,0,NA,NA,NA,NA,NA,NA,NA,NA,0,9,NA,NA,0,1,NA,4,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,16,4,94,NA,NA,NA,NA,80,NA,0,73,NA,NA,NA
"Enriched Bread","Corita Kent","Pop Art","figurative","Screenprint, canvas","https://www.wikiart.org/en/corita-kent/enriched-bread-1965","https://uploads0.wikiart.org/00333/images/corita-kent/enriched-bread-1965.jpg",102,NA,NA,NA,"https://uploads8.wikiart.org/images/agnes-martin/desert-rain-1957.jpg",25,NA,51,NA,23,NA,NA,NA,NA,NA,NA,49,NA,64,NA,43,77,NA,21,15,NA,NA,100,12,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,22,45,NA,NA,NA,45,20,30,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,18,48,NA,54,NA,71,NA,14,8,NA,NA,NA,80,NA,NA,NA,NA,23,NA,22,NA,NA,31,NA,NA,NA,53,NA,NA,NA,56,25,NA,NA,NA,41,65,NA,NA,NA,NA,9,NA,NA
"Pies, Pies, Pies","Wayne Thiebaud","Pop Art","still life","oil, canvas","https://www.wikiart.org/en/wayne-thiebaud/pies-pies-pies-1961","https://uploads8.wikiart.org/images/wayne-thiebaud/pies-pies-pies-1961.jpg",103,NA,NA,NA,"https://uploads8.wikiart.org/images/gego/untitled-1966.jpg",NA,56,83,NA,NA,2,36,NA,52,0,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,57,57,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,11,NA,NA,NA,62,NA,NA,NA,NA,75,100,NA,NA,49,NA,NA,84,NA,NA,20,NA,NA,NA,82,NA,27,NA,NA,NA,27,NA,53,NA,NA,34,78,NA,64,NA,NA,NA,NA
"Self-Portrait","Richard Hamilton","Pop Art","self-portrait","screenprint","https://www.wikiart.org/en/richard-hamilton/self-portrait-1967","https://uploads8.wikiart.org/images/richard-hamilton/self-portrait-1967.jpg",104,NA,NA,NA,"https://uploads8.wikiart.org/images/tony-smith/die-1968.jpg",23,5,NA,NA,44,8,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,83,NA,NA,NA,53,NA,85,6,0,22,NA,NA,28,38,NA,74,NA,NA,NA,NA,32,NA,NA,NA,52,NA,NA,NA,37,NA,NA,25,0,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,37,25,NA,NA,NA,NA,NA,45,NA,NA,18,NA,NA,77,NA,NA,16,NA,NA,13,NA,NA,NA
"In the car","Roy Lichtenstein","Pop Art","genre painting","magna, canvas","https://www.wikiart.org/en/roy-lichtenstein/in-the-car-1963","https://uploads5.wikiart.org/images/roy-lichtenstein/in-the-car-1963(1).jpg",105,NA,NA,NA,"https://uploads8.wikiart.org/images/johannes-jan-schoonhoven/r60-27-1960.jpg",NA,NA,NA,NA,54,NA,NA,51,NA,100,71,82,NA,NA,94,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,58,NA,NA,78,NA,NA,41,55,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,51,81,NA,NA,NA,74,NA,56,NA,NA,50,NA,51,NA,33,NA,23,NA,85,NA,60,56,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,50,79,NA,70,80,NA,NA,77,73,NA,NA,60,NA,NA,NA
"Exclamation Point (Chartreuse)","Richard Artschwager","Pop Art","installation","fabric","https://www.wikiart.org/en/richard-artschwager/exclamation-point-chartreuse-2008","https://uploads6.wikiart.org/images/richard-artschwager/exclamation-point-chartreuse-2008.jpg!Large.jpg",106,NA,NA,NA,"https://uploads8.wikiart.org/images/mathias-goeritz/untitled-1983.jpg",NA,NA,NA,61,NA,NA,17,NA,51,0,NA,NA,NA,NA,60,NA,NA,NA,NA,0,NA,NA,0,13,NA,NA,38,NA,20,NA,NA,NA,14,55,NA,NA,76,NA,NA,NA,NA,51,NA,51,NA,NA,NA,NA,NA,NA,11,NA,85,NA,NA,6,NA,NA,26,34,NA,NA,24,2,NA,23,NA,NA,NA,30,21,NA,33,69,NA,NA,NA,NA,NA,61,73,NA,69,14,NA,NA,NA,NA,88,NA,34,NA,NA,51,65,NA,NA,NA,NA,NA
"God/Dog","Stanley Pinker","Pop Art","animal painting","oil, canvas","https://www.wikiart.org/en/stanley-pinker/god-dog","https://uploads8.wikiart.org/images/stanley-pinker/god-dog.jpg",107,NA,NA,NA,"https://uploads8.wikiart.org/images/mira-schendel/untitled-from-splints-1987.jpg",NA,15,NA,NA,NA,27,NA,64,NA,NA,2,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,94,16,30,NA,NA,NA,NA,7,NA,83,NA,NA,50,0,NA,NA,NA,NA,NA,NA,51,35,NA,NA,15,NA,19,0,NA,60,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,29,NA,NA,46,67,NA,NA,NA,NA,NA,56,30,NA,12,NA,42,64,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Micron salon doloricida","Gianfranco Baruchello","Pop Art","installation","wood","https://www.wikiart.org/en/gianfranco-baruchello/micron-salon-doloricida-1962","https://uploads8.wikiart.org/images/gianfranco-baruchello/micron-salon-doloricida-1962.jpg",108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,0,NA,24,NA,NA,69,NA,NA,NA,19,NA,NA,81,NA,NA,NA,13,22,NA,NA,19,NA,36,NA,62,NA,50,NA,NA,NA,65,51,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,52,NA,NA,NA,68,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,32,NA,NA,NA,NA,NA,NA,50,22,NA,64,1,23,NA,NA,NA,11,100,50,18,NA,61
"Loose woman 2","Sergei Parajanov","Pop Art","symbolic painting","collage","https://www.wikiart.org/en/sergei-parajanov/loose-woman-2-19888","https://uploads6.wikiart.org/images/sergei-parajanov/loose-woman-2-1988.jpg!Large.jpg",109,NA,NA,NA,NA,5,0,NA,NA,NA,NA,NA,NA,3,NA,NA,100,NA,0,0,NA,NA,81,34,NA,NA,NA,NA,83,NA,80,9,NA,NA,NA,NA,62,37,NA,3,NA,NA,79,NA,NA,NA,NA,NA,51,26,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,15,67,NA,NA,NA,NA,45,0,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,40,NA,93,NA,39,NA
"Benz Racing Car","Andy Warhol","Pop Art","still life","collage","https://www.wikiart.org/en/andy-warhol/benz-racing-car","https://uploads7.wikiart.org/images/andy-warhol/benz-racing-car.jpg!Large.jpg",110,NA,NA,NA,NA,27,11,67,68,NA,NA,NA,NA,NA,0,47,NA,25,NA,NA,35,70,NA,50,51,NA,70,NA,NA,NA,NA,65,NA,NA,NA,20,70,35,NA,NA,NA,NA,20,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,5,NA,15,51,NA,NA,22,NA,NA,NA,57,NA,32,NA,NA,18,60,20,NA,30,NA,91,NA,NA,NA,17,NA,NA,NA,12,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,NA,NA,NA
"The Ancient of Days","William Blake","Symbolism","illustration","watercolor","https://www.wikiart.org/en/william-blake/the-ancient-of-days-1794","https://uploads8.wikiart.org/images/william-blake/the-ancient-of-days-1794.jpg",111,NA,NA,NA,NA,26,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,100,90,NA,NA,NA,69,NA,72,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,69,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,96,NA,43,23,NA,77,65,NA,NA,NA,NA,NA,46,NA,44,NA,NA,NA,19,NA,NA,76,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,73,29,NA,NA,NA,67,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,100,NA,NA,NA,NA
"Marine Terrace with initials","Victor Hugo","Symbolism","figurative","oil, canvas","https://www.wikiart.org/en/victor-hugo/marine-terrace-with-initials-1855","https://uploads8.wikiart.org/images/victor-hugo/marine-terrace-with-initials-1855.jpg",112,NA,NA,NA,NA,41,NA,NA,NA,NA,17,NA,NA,64,NA,9,NA,NA,NA,NA,NA,31,NA,NA,NA,100,25,0,NA,0,NA,12,NA,NA,79,NA,NA,NA,47,17,NA,NA,NA,96,NA,66,NA,NA,NA,30,NA,NA,66,38,34,NA,84,NA,2,NA,73,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,91,65,NA,31,100,72,NA,NA,NA,62,NA,NA,NA
"The Poor Fisherman","Pierre Puvis de Chavannes","Symbolism","genre painting","oil, canvas","https://www.wikiart.org/en/pierre-puvis-de-chavannes/the-poor-fisherman","https://uploads8.wikiart.org/images/pierre-puvis-de-chavannes/the-poor-fisherman.jpg",113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,86,NA,NA,100,97,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,74,NA,NA,NA,68,65,NA,NA,NA,38,NA,NA,NA,77,0,26,NA,NA,70,77,65,37,NA,NA,95,NA,43,NA,NA,NA,NA,37,NA,42,NA,NA,NA,100,NA,57,NA,29,NA,NA,NA,NA,NA,65,NA,NA,44,NA,41,NA,NA,NA,NA,NA,NA,30,NA,66,NA,NA,NA,NA,NA,42,65
"Oedipus and the Sphinx","Gustave Moreau","Symbolism","Mythological painting","oil, canvas","https://www.wikiart.org/en/gustave-moreau/the-sphinx-1864","https://uploads8.wikiart.org/images/gustave-moreau/the-sphinx-1864.jpg",114,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,70,NA,NA,NA,12,NA,90,NA,NA,83,NA,NA,NA,NA,NA,76,NA,74,35,NA,NA,NA,NA,NA,NA,71,NA,38,NA,NA,NA,NA,NA,NA,63,51,NA,NA,37,NA,NA,NA,NA,NA,NA,59,30,NA,100,NA,NA,NA,NA,NA,NA,94,NA,13,NA,55,83,43,NA,NA,NA,NA,NA,NA,NA,62,66,21,NA,NA,NA,NA,NA,63,NA,NA,NA,92,73,NA,NA,56,83,NA,76,100,NA,NA,NA,NA
"Christ and the two Marys","William Holman Hunt","Symbolism","Religious painting","oil, canvas","https://www.wikiart.org/en/william-holman-hunt/christ-and-the-two-marys","https://uploads8.wikiart.org/images/william-holman-hunt/christ-and-the-two-marys.jpg",115,NA,NA,NA,NA,23,15,NA,80,NA,NA,NA,NA,NA,100,100,94,92,NA,NA,NA,40,76,NA,NA,100,NA,NA,NA,97,NA,NA,NA,3,NA,93,NA,45,50,23,NA,18,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,88,NA,NA,NA,10,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,0,NA,NA,100,NA,67,NA,94,NA,NA,NA,NA,6,57,NA,NA,NA,NA,89,NA,NA,NA,78,NA,NA,62,NA,53,NA
"The Isle of the Dead","Arnold Bocklin","Symbolism","allegorical painting","oil, panel","https://www.wikiart.org/en/arnold-bocklin/the-isle-of-the-dead-1883","https://uploads8.wikiart.org/images/arnold-b-cklin/the-isle-of-the-dead-1883.jpg!HD.jpg",116,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,61,72,100,NA,NA,NA,73,81,22,100,NA,NA,NA,NA,99,NA,NA,NA,88,NA,NA,47,NA,NA,NA,64,62,92,NA,NA,NA,NA,NA,69,68,93,NA,NA,NA,72,NA,NA,NA,88,NA,NA,NA,NA,66,NA,NA,NA,72,NA,NA,68,NA,NA,56,NA,51,NA,NA,NA,NA,NA,50,NA,NA,71,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,0,NA,NA,NA,100
"Fallen Angel Looking at a Cloud","Odilon Redon","Symbolism","symbolic painting","oil, canvas","https://www.wikiart.org/en/odilon-redon/fallen-angel-looking-at-at-cloud","https://uploads8.wikiart.org/images/odilon-redon/fallen-angel-looking-at-at-cloud.jpg",117,NA,NA,NA,NA,31,NA,51,65,NA,NA,NA,NA,3,100,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,76,41,NA,24,73,NA,NA,11,NA,NA,65,87,47,NA,NA,NA,NA,13,NA,32,NA,NA,NA,45,NA,NA,27,NA,75,NA,30,NA,NA,0,NA,21,NA,NA,26,NA,27,NA,NA,NA,NA,NA,31,NA,NA,31,NA,NA,NA,NA,NA,65,41,NA,62,NA,55,NA,3,NA,NA,NA,29,77,NA,NA,65,51,NA
"Pegasus Departing","Albert Pinkham Ryder","Symbolism","Mythological painting","oil, canvas","https://www.wikiart.org/en/albert-pinkham-ryder/pegasus-departing-1901","https://uploads8.wikiart.org/images/albert-pinkham-ryder/pegasus-departing-1901.jpg",118,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,43,NA,NA,21,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,34,NA,NA,52,33,62,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,83,NA,52,NA,NA,NA,32,NA,NA,NA,51,NA,NA,58,NA,NA,NA,12,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,64,100,NA,NA,16,NA,NA,NA,21,71,NA,NA,67,NA,NA
"Fame ","Luc-Oliver Merson","Symbolism","allegorical painting","oil, canvas","https://www.wikiart.org/en/luc-olivier-merson/fame-la-renomme-e-27-x-33-cm-1889","https://uploads8.wikiart.org/images/luc-olivier-merson/fame-la-renomme-e-27-x-33-cm-1889.jpg",119,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,51,NA,100,NA,100,NA,NA,NA,NA,NA,NA,NA,38,NA,55,NA,NA,NA,NA,NA,NA,62,90,89,77,NA,61,NA,77,NA,59,NA,NA,60,80,NA,79,NA,NA,NA,79,NA,31,NA,NA,29,36,75,65,NA,NA,NA,NA,NA,77,NA,NA,60,NA,NA,53,100,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,60,NA,71,76,NA,100,NA,74,NA,NA
"Overall study of the life of weary","Ferdinand Hodler","Symbolism","sketch and study","pencil, paper","https://www.wikiart.org/en/ferdinand-hodler/overall-study-of-the-life-of-weary","https://uploads8.wikiart.org/images/ferdinand-hodler/overall-study-of-the-life-of-weary.jpg",120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,58,NA,NA,0,84,NA,NA,NA,NA,NA,59,35,NA,NA,NA,NA,21,NA,NA,NA,NA,41,NA,NA,70,NA,NA,NA,NA,67,36,50,55,NA,NA,NA,62,22,68,82,NA,42,NA,24,22,NA,NA,0,NA,NA,NA,18,51,NA,42,NA,NA,53,NA,NA,55,NA,NA,54,NA,NA,21,NA,NA,33,65,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,60
"Spring walk ","Georgy Yakulov","Cubism","genre painting","gouache, card","https://www.wikiart.org/en/georgy-yakulov/spring-walk-1915","https://uploads8.wikiart.org/images/georgy-yakulov/spring-walk-1915.jpg",121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,12,NA,NA,NA,NA,NA,NA,83,NA,39,62,51,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,58,50,NA,48,NA,NA,NA,NA,56,13,NA,51,NA,NA,63,NA,42,NA,NA,NA,NA,NA,NA,69,NA,NA,20,NA,NA,NA,NA,NA,20,NA,NA,50,NA,NA,NA,NA,NA,57,37,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,73,NA,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Portrait of an Actor (Félix Barré)","Jacques Vilon","Cubism","portrait","drypoint","https://www.wikiart.org/en/jacques-villon/portrait-of-an-actor-f-lix-barr-1913","https://uploads8.wikiart.org/images/jacques-villon/portrait-of-an-actor-f-lix-barr-1913.jpg",122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,58,72,NA,NA,NA,NA,2,NA,13,NA,14,NA,100,7,NA,NA,66,NA,51,NA,NA,NA,71,NA,NA,75,50,NA,NA,NA,72,25,NA,12,0,NA,52,NA,NA,NA,NA,25,NA,NA,NA,64,78,NA,NA,60,NA,NA,50,NA,NA,NA,20,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,48,NA,NA,NA,NA,31,65,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA
"Visage criant a la grande main","Julio Gonzalez","Cubism","portrait","gouache, card","https://www.wikiart.org/en/julio-gonzalez/visage-criant-a-la-grande-main-1941","https://uploads8.wikiart.org/images/julio-gonzalez/visage-criant-a-la-grande-main-1941.jpg",123,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,59,NA,NA,0,0,64,5,NA,70,30,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,51,NA,NA,51,19,NA,NA,31,NA,NA,38,25,NA,19,NA,NA,69,25,NA,2,59,67,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,35,NA,NA,NA,NA,22,13,NA,NA,NA,27,29,NA,NA,NA,NA,NA,17,58,NA,18,NA,21,NA,32,NA,NA,NA,100,NA,11,NA,35
"Bather","Raoul Dufy","Cubism","nude painting","etching","https://www.wikiart.org/en/raoul-dufy/bather-1908","https://uploads8.wikiart.org/images/raoul-dufy/bather-1908.jpg",124,NA,NA,NA,NA,NA,6,NA,60,61,NA,58,47,NA,NA,NA,69,NA,NA,43,NA,NA,39,NA,NA,NA,NA,NA,NA,22,NA,2,59,NA,NA,NA,63,NA,NA,NA,NA,51,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,58,NA,64,NA,NA,NA,NA,NA,NA,58,0,NA,11,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,84,NA,41,NA,62,41,61,61,NA,77,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA
"Still-life with Chessboard and Pipe","Bela Kadar","Cubism","still life","oil, canvas","https://www.wikiart.org/en/bela-kadar/still-life-with-chessboard-and-pipe-1920","https://uploads8.wikiart.org/images/bela-kadar/still-life-with-chessboard-and-pipe-1920.jpg",125,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,74,NA,17,NA,NA,20,NA,NA,NA,13,37,NA,39,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,29,NA,NA,NA,NA,NA,30,70,45,NA,79,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,11,NA,NA,NA,58,NA,NA,NA,50,NA,NA,NA,NA,35,NA,NA,32,NA,68,NA,NA,44,86,NA,NA,84,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA
"Violin, Bottle Flowers in a Glass and Eight of Spades","Louis Marcoussis","Cubism","still life","oil, canvas","https://www.wikiart.org/en/louis-marcoussis/violin-bottle-flowers-in-a-glass-and-eight-of-spades-1919","https://uploads8.wikiart.org/images/louis-marcoussis/violin-bottle-flowers-in-a-glass-and-eight-of-spades-1919.jpg",126,NA,NA,NA,NA,30,NA,86,NA,NA,14,NA,NA,NA,NA,11,NA,9,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,12,NA,10,NA,NA,29,NA,NA,NA,50,NA,36,26,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,13,NA,71,62,NA,NA,NA,NA,NA,62,NA,NA,NA,5,58,NA,NA,77,21,50,NA,31,NA,50,49,NA,100,NA,NA,53,NA,NA,NA,NA,NA,21,45,NA,NA,NA,82,56,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"L'oiseau","Leopold Survage","Cubism","cityscape","oil, canvas","https://www.wikiart.org/en/leopold-survage/l-oiseau-19155","https://uploads8.wikiart.org/images/l-opold-survage/l-oiseau-1915.jpg",127,NA,NA,NA,NA,51,13,NA,NA,NA,NA,NA,NA,27,100,NA,NA,NA,NA,61,NA,76,NA,46,81,NA,NA,19,NA,NA,NA,7,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,19,NA,NA,NA,NA,26,37,NA,71,NA,NA,69,NA,53,NA,NA,NA,59,NA,9,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,44,25,51,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,45,64,NA,NA,100,NA,8,0,51
"Le Monogramme","Maria Blanchard","Cubism","figurative","oil, canvas","https://www.wikiart.org/en/maria-blanchard/le-monogramme-1916","https://uploads1.wikiart.org/00334/images/maria-blanchard/le-monogramme-1916.jpg!HD.jpg",128,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,50,8,NA,25,44,NA,35,NA,NA,NA,NA,NA,79,NA,NA,8,NA,19,NA,NA,NA,NA,NA,NA,54,NA,59,84,61,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,56,51,NA,NA,NA,37,16,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,36,NA,NA,NA,NA,62,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"Painting","Patrick Henry Bruce","Cubism","still life","oil, canvas","https://www.wikiart.org/en/patrick-henry-bruce/painting-1930","https://uploads8.wikiart.org/images/patrick-henry-bruce/painting-1930.jpg",129,NA,NA,NA,NA,72,NA,NA,63,NA,NA,NA,22,NA,NA,NA,52,15,67,NA,NA,NA,71,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,79,NA,57,NA,NA,NA,NA,NA,31,NA,NA,38,NA,NA,NA,24,NA,27,NA,55,NA,51,NA,4,44,NA,NA,NA,12,NA,74,NA,NA,NA,NA,NA,NA,NA,42,46,61,NA,63,86,NA,19,39,83,NA,NA,69,NA,87,NA,NA,NA,NA,100,NA,7,19,52
